fund_slug,description
amplifi,Investment activities in Ukraine (UA). Normal investments: 1. Lead investments: 0. Main sectors: DeFi (100.0%). Associated fund: amplifi.
amplifi,Investment activities in UAE (AE). Normal investments: 1. Lead investments: 0. Main sectors: DeFi (100.0%). Associated fund: amplifi.
amplifi,Investment activities in United Kingdom (GB). Normal investments: 1. Lead investments: 0. Main sectors: DeFi (100.0%). Associated fund: amplifi.
capital-factory,Investment activities in United States (US). Normal investments: 1. Lead investments: 0. Main sectors: CeFi (100.0%). Associated fund: capital-factory.
e-ventures,"Investment activities in France (FR). Normal investments: 1. Lead investments: 2. Main sectors: GameFi (66.67%), Blockchain Service (33.33%). Associated fund: e-ventures."
bridge-bank,Investment activities in United States (US). Normal investments: 0. Lead investments: 1. Main sectors: CeFi (100.0%). Associated fund: bridge-bank.
google-launchpad-accelerator,Investment activities in Czech Republic (CZ). Normal investments: 0. Lead investments: 1. Main sectors: GameFi (100.0%). Associated fund: google-launchpad-accelerator.
google-launchpad-accelerator,Investment activities in Ukraine (UA). Normal investments: 1. Lead investments: 0. Main sectors: DeFi (100.0%). Associated fund: google-launchpad-accelerator.
iconiq-capital,"Investment activities in United States (US). Normal investments: 3. Lead investments: 1. Main sectors: Others (75.0%), Blockchain Service (25.0%). Associated fund: iconiq-capital."
fantail-ventures,Investment activities in United States (US). Normal investments: 1. Lead investments: 0. Main sectors: Others (100.0%). Associated fund: fantail-ventures.
victory-park-capital,"Investment activities in United States (US). Normal investments: 1. Lead investments: 1. Main sectors: Social (50.0%), CeFi (50.0%). Associated fund: victory-park-capital."
singapore-exchange,Investment activities in Singapore (SG). Normal investments: 1. Lead investments: 0. Main sectors: CeFi (100.0%). Associated fund: singapore-exchange.
singapore-exchange,Investment activities in United Kingdom (GB). Normal investments: 1. Lead investments: 0. Main sectors: CeFi (100.0%). Associated fund: singapore-exchange.
tokai-tokyo-financial-holdings,Investment activities in Singapore (SG). Normal investments: 2. Lead investments: 0. Main sectors: CeFi (100.0%). Associated fund: tokai-tokyo-financial-holdings.
riverpark,Investment activities in United States (US). Normal investments: 2. Lead investments: 0. Main sectors: Social (100.0%). Associated fund: riverpark.
matic-foundation,Investment activities in Costa Rica (CR). Normal investments: 1. Lead investments: 0. Main sectors: GameFi (100.0%). Associated fund: matic-foundation.
n26,Investment activities in Germany (DE). Normal investments: 1. Lead investments: 0. Main sectors: CeFi (100.0%). Associated fund: n26.
n26,Investment activities in United States (US). Normal investments: 1. Lead investments: 0. Main sectors: DeFi (100.0%). Associated fund: n26.
axion-global-asset-management,Investment activities in Hong Kong (HK). Normal investments: 0. Lead investments: 1. Main sectors: CeFi (100.0%). Associated fund: axion-global-asset-management.
consorsbank,Investment activities in Germany (DE). Normal investments: 1. Lead investments: 0. Main sectors: CeFi (100.0%). Associated fund: consorsbank.
deepcore,Investment activities in Singapore (SG). Normal investments: 2. Lead investments: 0. Main sectors: Social (100.0%). Associated fund: deepcore.
seikatsu-ventures,Investment activities in United States (US). Normal investments: 1. Lead investments: 0. Main sectors: DeFi (100.0%). Associated fund: seikatsu-ventures.
ascension,"Investment activities in United Kingdom (GB). Normal investments: 2. Lead investments: 0. Main sectors: Social (50.0%), CeFi (50.0%). Associated fund: ascension."
2020-ventures,"Investment activities in United States (US). Normal investments: 2. Lead investments: 0. Main sectors: Blockchain Service (50.0%), Chain (50.0%). Associated fund: 2020-ventures."
2020-ventures,Investment activities in India (IN). Normal investments: 1. Lead investments: 0. Main sectors: DeFi (100.0%). Associated fund: 2020-ventures.
bidesk,Investment activities in India (IN). Normal investments: 1. Lead investments: 0. Main sectors: DeFi (100.0%). Associated fund: bidesk.
inblockchain,"Investment activities in United States (US). Normal investments: 4. Lead investments: 0. Main sectors: Blockchain Service (75.0%), Blockchain Infrastructure (25.0%). Associated fund: inblockchain."
inblockchain,Investment activities in Ireland (IE). Normal investments: 2. Lead investments: 0. Main sectors: Blockchain Service (100.0%). Associated fund: inblockchain.
first-star-ventures,Investment activities in Ireland (IE). Normal investments: 1. Lead investments: 1. Main sectors: Blockchain Service (100.0%). Associated fund: first-star-ventures.
first-star-ventures,Investment activities in United States (US). Normal investments: 1. Lead investments: 0. Main sectors: Blockchain Infrastructure (100.0%). Associated fund: first-star-ventures.
decentraland-foundation,Investment activities in Costa Rica (CR). Normal investments: 1. Lead investments: 0. Main sectors: GameFi (100.0%). Associated fund: decentraland-foundation.
amatil-x-ventures,Investment activities in New Zealand (NZ). Normal investments: 1. Lead investments: 0. Main sectors: Social (100.0%). Associated fund: amatil-x-ventures.
01ex,Investment activities in United Kingdom (GB). Normal investments: 1. Lead investments: 0. Main sectors: CeFi (100.0%). Associated fund: 01ex.
01ex,Investment activities in United States (US). Normal investments: 1. Lead investments: 0. Main sectors: Social (100.0%). Associated fund: 01ex.
2f-capital,Investment activities in United Kingdom (GB). Normal investments: 1. Lead investments: 0. Main sectors: CeFi (100.0%). Associated fund: 2f-capital.
ifinex,Investment activities in Netherlands (NL). Normal investments: 1. Lead investments: 0. Main sectors: Chain (100.0%). Associated fund: ifinex.
celo-foundation,"Investment activities in United States (US). Normal investments: 2. Lead investments: 0. Main sectors: Blockchain Service (50.0%), CeFi (50.0%). Associated fund: celo-foundation."
100x-group,Investment activities in Philippines (PH). Normal investments: 0. Lead investments: 1. Main sectors: CeFi (100.0%). Associated fund: 100x-group.
100x-group,Investment activities in Vietnam (VN). Normal investments: 1. Lead investments: 0. Main sectors: DeFi (100.0%). Associated fund: 100x-group.
nice-capital,Investment activities in United States (US). Normal investments: 2. Lead investments: 0. Main sectors: DeFi (100.0%). Associated fund: nice-capital.
tsg-consumer-partners,Investment activities in United Kingdom (GB). Normal investments: 1. Lead investments: 0. Main sectors: Others (100.0%). Associated fund: tsg-consumer-partners.
tsg-consumer-partners,Investment activities in United States (US). Normal investments: 1. Lead investments: 0. Main sectors: Others (100.0%). Associated fund: tsg-consumer-partners.
bittrex-global,Investment activities in South Africa (ZA). Normal investments: 1. Lead investments: 1. Main sectors: CeFi (100.0%). Associated fund: bittrex-global.
canada-nuchain-foundation,Investment activities in Seychelles (SC). Normal investments: 1. Lead investments: 0. Main sectors: DeFi (100.0%). Associated fund: canada-nuchain-foundation.
jerusalem-venture-partners,Investment activities in United States (US). Normal investments: 1. Lead investments: 1. Main sectors: Blockchain Service (100.0%). Associated fund: jerusalem-venture-partners.
sicpa,Investment activities in Switzerland (CH). Normal investments: 2. Lead investments: 0. Main sectors: Blockchain Service (100.0%). Associated fund: sicpa.
brandenburg-kapital,Investment activities in Germany (DE). Normal investments: 1. Lead investments: 0. Main sectors: Blockchain Service (100.0%). Associated fund: brandenburg-kapital.
dg-lab-fund,"Investment activities in United States (US). Normal investments: 3. Lead investments: 0. Main sectors: CeFi (66.67%), Blockchain Service (33.33%). Associated fund: dg-lab-fund."
dg-lab-fund,Investment activities in Canada (CA). Normal investments: 1. Lead investments: 0. Main sectors: Blockchain Infrastructure (100.0%). Associated fund: dg-lab-fund.
sbi-financial-services,Investment activities in Taiwan (TW). Normal investments: 0. Lead investments: 1. Main sectors: Blockchain Service (100.0%). Associated fund: sbi-financial-services.
sbi-financial-services,Investment activities in United Kingdom (GB). Normal investments: 1. Lead investments: 0. Main sectors: DeFi (100.0%). Associated fund: sbi-financial-services.
chrysalis-investments,Investment activities in United Kingdom (GB). Normal investments: 1. Lead investments: 1. Main sectors: CeFi (100.0%). Associated fund: chrysalis-investments.
jtc,Investment activities in United Kingdom (GB). Normal investments: 2. Lead investments: 1. Main sectors: CeFi (100.0%). Associated fund: jtc.
vitruvian-partners,Investment activities in United States (US). Normal investments: 2. Lead investments: 0. Main sectors: Blockchain Service (100.0%). Associated fund: vitruvian-partners.
166-2nd,Investment activities in United States (US). Normal investments: 1. Lead investments: 0. Main sectors: Blockchain Service (100.0%). Associated fund: 166-2nd.
axa-venture-partners,Investment activities in Canada (CA). Normal investments: 0. Lead investments: 1. Main sectors: Blockchain Infrastructure (100.0%). Associated fund: axa-venture-partners.
axa-venture-partners,Investment activities in Israel (IL). Normal investments: 0. Lead investments: 1. Main sectors: Blockchain Service (100.0%). Associated fund: axa-venture-partners.
golden-sand-capital,Investment activities in United States (US). Normal investments: 0. Lead investments: 3. Main sectors: CeFi (100.0%). Associated fund: golden-sand-capital.
moneta-vc,Investment activities in United States (US). Normal investments: 2. Lead investments: 0. Main sectors: Blockchain Service (100.0%). Associated fund: moneta-vc.
pegasus-tech,Investment activities in United States (US). Normal investments: 1. Lead investments: 0. Main sectors: Others (100.0%). Associated fund: pegasus-tech.
merian-global-investors,Investment activities in United Kingdom (GB). Normal investments: 1. Lead investments: 1. Main sectors: CeFi (100.0%). Associated fund: merian-global-investors.
nbk-ventures,Investment activities in Germany (DE). Normal investments: 0. Lead investments: 1. Main sectors: DeFi (100.0%). Associated fund: nbk-ventures.
nbk-ventures,Investment activities in United Kingdom (GB). Normal investments: 1. Lead investments: 0. Main sectors: Blockchain Service (100.0%). Associated fund: nbk-ventures.
nbk-ventures,Investment activities in United States (US). Normal investments: 1. Lead investments: 0. Main sectors: CeFi (100.0%). Associated fund: nbk-ventures.
kiatnakin-phatra-financial-group,Investment activities in Singapore (SG). Normal investments: 1. Lead investments: 1. Main sectors: CeFi (100.0%). Associated fund: kiatnakin-phatra-financial-group.
omidyar-technology-ventures,"Investment activities in United States (US). Normal investments: 2. Lead investments: 0. Main sectors: Blockchain Service (50.0%), Social (50.0%). Associated fund: omidyar-technology-ventures."
album-vc,Investment activities in United States (US). Normal investments: 1. Lead investments: 0. Main sectors: Blockchain Service (100.0%). Associated fund: album-vc.
hdfc-bank,Investment activities in India (IN). Normal investments: 1. Lead investments: 0. Main sectors: Blockchain Service (100.0%). Associated fund: hdfc-bank.
oxford-capital,Investment activities in United Kingdom (GB). Normal investments: 1. Lead investments: 0. Main sectors: Social (100.0%). Associated fund: oxford-capital.
mosaik-partners,Investment activities in United States (US). Normal investments: 0. Lead investments: 2. Main sectors: Blockchain Service (100.0%). Associated fund: mosaik-partners.
recruit-holdings,Investment activities in Japan (JP). Normal investments: 1. Lead investments: 0. Main sectors: Blockchain Service (100.0%). Associated fund: recruit-holdings.
recruit-holdings,Investment activities in UAE (AE). Normal investments: 1. Lead investments: 0. Main sectors: Blockchain Service (100.0%). Associated fund: recruit-holdings.
recruit-holdings,Investment activities in United States (US). Normal investments: 1. Lead investments: 0. Main sectors: Chain (100.0%). Associated fund: recruit-holdings.
blockchain-finance-fund,Investment activities in United States (US). Normal investments: 1. Lead investments: 0. Main sectors: CeFi (100.0%). Associated fund: blockchain-finance-fund.
brand-capital,Investment activities in Singapore (SG). Normal investments: 0. Lead investments: 1. Main sectors: Blockchain Service (100.0%). Associated fund: brand-capital.
brand-capital,Investment activities in United States (US). Normal investments: 0. Lead investments: 1. Main sectors: Social (100.0%). Associated fund: brand-capital.
creative-destruction-lab,Investment activities in Canada (CA). Normal investments: 1. Lead investments: 0. Main sectors: Blockchain Service (100.0%). Associated fund: creative-destruction-lab.
creative-destruction-lab,Investment activities in United States (US). Normal investments: 0. Lead investments: 1. Main sectors: Blockchain Service (100.0%). Associated fund: creative-destruction-lab.
newtown-partners,Investment activities in South Africa (ZA). Normal investments: 2. Lead investments: 0. Main sectors: CeFi (100.0%). Associated fund: newtown-partners.
thunder-core,Investment activities in Hong Kong (HK). Normal investments: 1. Lead investments: 0. Main sectors: Others (100.0%). Associated fund: thunder-core.
thunder-core,Investment activities in United States (US). Normal investments: 1. Lead investments: 0. Main sectors: GameFi (100.0%). Associated fund: thunder-core.
anr-group,Investment activities in Israel (IL). Normal investments: 1. Lead investments: 0. Main sectors: Blockchain Infrastructure (100.0%). Associated fund: anr-group.
capability-and-innovation-fund,Investment activities in United Kingdom (GB). Normal investments: 0. Lead investments: 1. Main sectors: CeFi (100.0%). Associated fund: capability-and-innovation-fund.
aspect-ventures,"Investment activities in United States (US). Normal investments: 1. Lead investments: 1. Main sectors: Blockchain Service (50.0%), Chain (50.0%). Associated fund: aspect-ventures."
atari,Investment activities in Hong Kong (HK). Normal investments: 0. Lead investments: 1. Main sectors: Others (100.0%). Associated fund: atari.
tokensoft,Investment activities in United States (US). Normal investments: 1. Lead investments: 0. Main sectors: Blockchain Service (100.0%). Associated fund: tokensoft.
d4v,"Investment activities in Japan (JP). Normal investments: 2. Lead investments: 0. Main sectors: Social (50.0%), CeFi (50.0%). Associated fund: d4v."
venture-labo-investment,"Investment activities in Japan (JP). Normal investments: 2. Lead investments: 1. Main sectors: Blockchain Service (66.67%), CeFi (33.33%). Associated fund: venture-labo-investment."
shuttle-fund,"Investment activities in United States (US). Normal investments: 2. Lead investments: 0. Main sectors: Blockchain Service (50.0%), Social (50.0%). Associated fund: shuttle-fund."
aslanoba-capital,Investment activities in Switzerland (CH). Normal investments: 1. Lead investments: 0. Main sectors: CeFi (100.0%). Associated fund: aslanoba-capital.
merian-ventures,Investment activities in United Kingdom (GB). Normal investments: 2. Lead investments: 0. Main sectors: Blockchain Service (100.0%). Associated fund: merian-ventures.
base10-partners,Investment activities in United States (US). Normal investments: 0. Lead investments: 1. Main sectors: CeFi (100.0%). Associated fund: base10-partners.
cls,Investment activities in United States (US). Normal investments: 0. Lead investments: 1. Main sectors: Blockchain Service (100.0%). Associated fund: cls.
the-venture-center,Investment activities in United Kingdom (GB). Normal investments: 0. Lead investments: 1. Main sectors: Blockchain Service (100.0%). Associated fund: the-venture-center.
the-venture-center,Investment activities in United States (US). Normal investments: 0. Lead investments: 1. Main sectors: CeFi (100.0%). Associated fund: the-venture-center.
business-finland,Investment activities in Finland (FI). Normal investments: 0. Lead investments: 1. Main sectors: Blockchain Service (100.0%). Associated fund: business-finland.
dcu-fintech-innovation-center,"Investment activities in United States (US). Normal investments: 0. Lead investments: 2. Main sectors: Blockchain Service (50.0%), CeFi (50.0%). Associated fund: dcu-fintech-innovation-center."
bokwang-investment,Investment activities in South Korea (KR). Normal investments: 3. Lead investments: 0. Main sectors: Blockchain Service (100.0%). Associated fund: bokwang-investment.
capstone-partners,Investment activities in South Korea (KR). Normal investments: 3. Lead investments: 0. Main sectors: Blockchain Service (100.0%). Associated fund: capstone-partners.
crestvalue,Investment activities in United States (US). Normal investments: 2. Lead investments: 0. Main sectors: NFT (100.0%). Associated fund: crestvalue.
china-capital-financial-service-chamber-of-commerce,Investment activities in China (CN). Normal investments: 0. Lead investments: 1. Main sectors: Blockchain Service (100.0%). Associated fund: china-capital-financial-service-chamber-of-commerce.
camp-one,Investment activities in Cayman Islands (KY). Normal investments: 0. Lead investments: 1. Main sectors: CeFi (100.0%). Associated fund: camp-one.
camp-one,Investment activities in United States (US). Normal investments: 1. Lead investments: 0. Main sectors: Currency (100.0%). Associated fund: camp-one.
bank-of-montreal,Investment activities in Canada (CA). Normal investments: 0. Lead investments: 1. Main sectors: Blockchain Service (100.0%). Associated fund: bank-of-montreal.
calibrate-management,Investment activities in United Kingdom (GB). Normal investments: 0. Lead investments: 1. Main sectors: Blockchain Service (100.0%). Associated fund: calibrate-management.
albatross-venture,Investment activities in China (CN). Normal investments: 1. Lead investments: 0. Main sectors: Blockchain Service (100.0%). Associated fund: albatross-venture.
recruit-strategic,"Investment activities in United States (US). Normal investments: 2. Lead investments: 0. Main sectors: Blockchain Service (50.0%), Social (50.0%). Associated fund: recruit-strategic."
83north,Investment activities in United States (US). Normal investments: 2. Lead investments: 0. Main sectors: Blockchain Service (100.0%). Associated fund: 83north.
angel-academe,Investment activities in United Kingdom (GB). Normal investments: 1. Lead investments: 0. Main sectors: Blockchain Service (100.0%). Associated fund: angel-academe.
backstage-capital,Investment activities in United States (US). Normal investments: 1. Lead investments: 0. Main sectors: Blockchain Service (100.0%). Associated fund: backstage-capital.
