Category,Question,YAKE Keywords,Severity Score,Variations
Technical,What security measures are in place to prevent hacks or breaches?,"breaches, security, measures, place, prevent",,[]
Technical,Are there bug bounty programs to encourage reporting vulnerabilities?,"vulnerabilities, bug, bounty, programs, encourage",,[]
Technical,What is the current throughput (transactions per second)?,"throughput, transactions, current",,[]
Technical,How does the platform handle scalability issues during periods of high usage?,"usage, platform, handle, scalability, issues",,[]
Technical,What are the plans for upgrades or improvements to the technical stack?,"stack, plans, upgrades, improvements, technical",,[]
Financial,"How many tokens are in circulation, and what is the total supply?","circulation, supply, tokens, total",,[]
Financial,Are there any existing partnerships or business agreements driving revenue?,"revenue, existing, partnerships, business, agreements",,[]
Financial,"How are raised funds stored (e.g., cold wallets, multi-signature wallets)?","wallets, stored, cold, multi-signature, raised",,[]
Financial,What is the burn or inflation rate of the token?,"token, burn, inflation, rate",,[]
Reputational and Strategic,Does the project have any known community advocates or influencers?,"influencers, project, community, advocates",,[]
Legal and Compliance,Does the project provide guidance or support for tax reporting?,"reporting, project, provide, guidance, support",,[]
Technical,Have the smart contracts been audited by reputable third parties?,"parties, smart, contracts, audited, reputable",,[]
Technical,Are the audit reports publicly accessible for review?,"review, audit, reports, publicly, accessible",,[]
Financial,What are the project's current and projected revenue streams?,"streams, project, current, projected, revenue",,[]
Financial,How does the project plan to achieve financial sustainability?,"sustainability, project, plan, achieve, financial",,[]
Financial,What are the primary use cases for the token within the project's ecosystem?,"ecosystem, primary, cases, token, project",,[]
Financial,Is there a clear demand for the token that supports its value proposition?,"proposition, clear, demand, token, supports",,[]
Reputational and Strategic,Is there an active developer community contributing to the project's growth?,"growth, active, developer, community, contributing",,[]
Reputational and Strategic,What is the general sentiment of the community towards the project?,"project, general, sentiment, community",,[]
Reputational and Strategic,"Are there channels for users to provide feedback, and how is it addressed?","feedback, addressed, channels, users, provide",,[]
Legal and Compliance,"Does the project have a clear legal structure (e.g., foundation, corporation, DAO)?","DAO, foundation, corporation, structure, project",,[]
Legal and Compliance,Are there any tax implications for holding or transacting with the asset?,"asset, tax, implications, holding, transacting",,[]
Legal and Compliance,How does the project handle cross-border transactions and regulatory differences?,"differences, project, handle, cross-border, transactions",,[]
Legal and Compliance,Are there any restrictions on the transfer or ownership of the asset?,"asset, restrictions, transfer, ownership",,[]
Legal and Compliance,Are there any pending or potential legislative changes that could impact the asset?,"asset, pending, potential, legislative, impact",,[]
Financial,How does the project manage inflation or deflation of the token?,"token, project, manage, inflation, deflation|supply, project, manage, inflation, deflation",,[]
Reputational and Strategic,How does the project handle community disputes or disagreements?,"disagreements, project, handle, community, disputes",,[]
Reputational and Strategic,Are there any incentives for developers to build on the platform?,"platform, incentives, developers, build",,[]
Reputational and Strategic,How does the project onboard new users or developers?,"developers, project, onboard, users",,[]
Reputational and Strategic,Are there any educational resources or documentation for the community?,"community, educational, resources, documentation",,[]
Reputational and Strategic,How does the project handle negative feedback or criticism from the community?,"community, project, handle, negative, feedback",,[]
Financial,Are there any signs of insider trading or market manipulation?,"manipulation, signs, insider, trading, market|manipulation, signs, wash, trading, forms",,[]
Auditability,Are there regular financial reports or updates for investors?,"investors, regular, financial, reports, updates",,[]
Auditability,How does the project manage its treasury or reserve funds?,"funds, project, manage, treasury, reserve|reserves, protocol, manage, treasury",,[]
Auditability,Are there any concerns about misallocation or misuse of funds?,"funds, concerns, misallocation, misuse",,[]
Auditability,Does the project have a clear budget or financial plan for the next 1-3 years?,"years, project, clear, budget, financial",,[]
Auditability,Are there any risks of insolvency or running out of funds?,"funds, risks, insolvency, running",,[]
Reputational and Strategic,Does the project have a sustainability plan to reduce its environmental impact?,"impact, project, sustainability, plan, reduce",,[]
Reputational and Strategic,How does the project contribute to social causes or communities?,"communities, project, contribute, social|initiatives, project, contribute, social, charitable",,[]
Reputational and Strategic,How does the project ensure diversity and inclusion within its team and community?,"community, project, ensure, diversity, inclusion",,[]
Reputational and Strategic,Are there any ethical concerns related to the project’s operations or goals?,"goals, ethical, concerns, related, project",,[]
Legal and Compliance,Who owns the intellectual property (IP) related to the project's technology?,"property, related, technology, intellectual, project",,[]
Legal and Compliance,What are the on chain analysis tools that they utilize to track illicit funds?,"funds, chain, analysis, tools, utilize",,[]
Legal and Compliance,How are liabilities handled within the DAO structure?,"DAO, structure, liabilities, handled",,[]
Legal and Compliance,What are the legal implications of the DAO's governance model?,"DAO, model, legal, implications, governance",,[]
Financial,Are there any mechanisms for burning or repurchasing tokens?,"tokens, mechanisms, burning, repurchasing",,[]
Financial,What is the token's velocity and circulation?,"circulation, token, velocity",,[]
Financial,How are the funds raised during token sales being used?,"funds, raised, token, sales",,[]
Financial,What stress testing has been conducted on the project's financial model?,"model, stress, testing, conducted, project",,[]
Financial,What is the projects treasury management strategy?,"strategy, projects, treasury, management",,[]
Financial,Which accounting standards are being used?,"accounting, standards",,[]
Financial,"Who are the auditors, and what is their reputation in the digital asset space?","auditors, space, reputation, digital, asset|auditors, reputation, security",,[]
Financial,Are there regular proof of reserve audits?,"audits, regular, proof, reserve",,[]
Technical,What specific cryptographic algorithms are used?,"specific, cryptographic, algorithms",,[]
Technical,What is the project's approach to key management and security?,"security, project, approach, key, management",,[]
Technical,Are there any known vulnerabilities in the underlying blockchain protocol?,"protocol, vulnerabilities, underlying, blockchain",,[]
Technical,What is the process for updating and patching the blockchain?,"blockchain, process, updating, patching",,[]
Technical,Has there been any previous exploits of the smart contract?,"contract, previous, exploits, smart",,[]
Technical,Are there any signs of malicious code or backdoors?,"backdoors, signs, malicious, code",,[]
Technical,What is the communities involvement in the open source project?,"project, communities, involvement, open, source",,[]
Auditability,How frequently are financial reports published?,"published, frequently, financial, reports",,"['Are regular third-party security or financial audits carried out, and how frequently are the reports published or accessible?']"
Legal and Compliance,In how many jurisdictions has the project ensured regulatory compliance?,"compliance, jurisdictions, project, ensured, regulatory",,[]
Legal and Compliance,Are there export controls or restrictions for certain countries?,"countries, export, controls, restrictions",,[]
Legal and Compliance,Are IP rights secured in major markets where the project intends to operate?,"operate, secured, major, markets, project",,[]
Technical,"What development methodology does the team follow (e.g., Agile, DevOps)?","Agile, DevOps, follow, development, methodology",,[]
Technical,"Are there regular updates to the codebase, and is there a public roadmap?","codebase, roadmap, regular, updates, public",,[]
Technical,What is the project's uptime percentage over the past year?,"year, project, uptime, percentage, past",,[]
Technical,Are there automated systems for monitoring and recovering from outages?,"outages, automated, systems, monitoring, recovering",,[]
Financial,"What were the sources of funding (e.g., ICO, private sales, venture capital)?","ICO, funding, private, sales, venture",,[]
Financial,What safeguards are in place to prevent misuse of funds?,"funds, safeguards, place, prevent, misuse",,[]
Financial,Are there any mechanisms for token buybacks or burns to regulate supply?,"supply, mechanisms, token, buybacks, burns",,[]
Financial,"How transparent are these policies, and how often are they executed?","policies, executed, transparent",,[]
Legal and Compliance,How does the project plan to adapt to potential regulatory changes?,"project, plan, adapt, potential, regulatory|project, plan, adapt, future, regulatory",,[]
Reputational and Strategic,Are there influential figures or ambassadors actively promoting the project?,"project, influential, figures, ambassadors, actively",,[]
Reputational and Strategic,What incentives are in place for advocates to remain engaged?,"engaged, incentives, place, advocates, remain",,[]
Reputational and Strategic,"Are there rewards for validators, miners, or liquidity providers?","miners, validators, providers, rewards, liquidity",,[]
Reputational and Strategic,How sustainable are these rewards over the long term?,"term, sustainable, rewards, long",,[]
Reputational and Strategic,Are there clear guides or resources to onboard new users or developers?,"developers, clear, guides, resources, onboard",,[]
Reputational and Strategic,How does the project handle technical support for users?,"users, project, handle, technical, support",,[]
Legal and Compliance,Are there any concerns about the project’s compliance with sanctions or embargoes?,"embargoes, concerns, project, compliance, sanctions",,[]
Reputational and Strategic,How does the project handle community governance or decision-making?,"decision-making, project, handle, community, governance",,[]
Reputational and Strategic,Are there any risks of community fragmentation or infighting?,"infighting, risks, community, fragmentation",,[]
Reputational and Strategic,How does the project plan to grow its ecosystem of developers and users?,"users, project, plan, grow, ecosystem",,[]
Reputational and Strategic,Are there any risks of the community losing trust in the project?,"project, risks, community, losing, trust",,[]
Reputational and Strategic,"How does the project handle negative sentiment or FUD (fear, uncertainty, doubt)?","fear, uncertainty, doubt, FUD, project",,[]
Reputational and Strategic,Are there any plans to incentivize community contributions or participation?,"participation, plans, incentivize, community, contributions",,[]
Auditability,How does the project handle investor relations or communication?,"communication, project, handle, investor, relations",,[]
Auditability,Are there any risks of the project running out of funding or going bankrupt?,"bankrupt, risks, project, running, funding",,[]
Auditability,How does the project plan to allocate funds raised from token sales or investments?,"investments, project, plan, allocate, funds",,[]
Reputational and Strategic,Does the project have a plan to offset its carbon footprint or environmental impact?,"impact, project, plan, offset, carbon",,"['Is the project have a clear policy or framework addressing its environmental impact (e.g., energy usage, carbon footprint)?']"
Legal and Compliance,How does the protocol address the risks of impermanent loss and liquidation?,"liquidation, protocol, address, risks, impermanent",,[]
Legal and Compliance,How does the project address the risks of counterfeit NFTs?,"NFTs, project, address, risks, counterfeit",,[]
Legal and Compliance,What are the legal implications of fractionalized NFTs?,"NFTs, legal, implications, fractionalized",,[]
Financial,What on-chain metrics are used to assess the health of the project's network?,"network, on-chain, metrics, assess, health",,[]
Financial,What are the risks of cascading liquidations in the protocol?,"protocol, risks, cascading, liquidations",,[]
Financial,What are the risks of oracle failures?,"failures, risks, oracle",,[]
Financial,"Are the stablecoins fully backed by reserves, and are those reserves audited?","audited, reserves, stablecoins, fully, backed",,[]
Financial,What are the de-pegging risks?,"risks, de-pegging",,[]
Financial,What valuation models are being used to assess the project's worth?,"worth, valuation, models, assess, project",,[]
Technical,What is the scope and depth of the formal verification process?,"process, scope, depth, formal, verification",,[]
Technical,What measures are being taken to mitigate those risks?,"risks, measures, mitigate",,[]
Legal and Compliance,How robust are the project’s KYC/AML processes?,"KYC, AML, processes, robust, project",,[]
Legal and Compliance,How does the project handle regulatory inquiries or subpoenas?,"subpoenas, project, handle, regulatory, inquiries",,[]
Legal and Compliance,Are there potential infringement risks due to similarities with other projects?,"projects, potential, infringement, risks, due",,[]
Technical,What encryption methods are used to secure transactions and data?,"data, encryption, methods, secure, transactions",,[]
Technical,What incentives are offered to ethical hackers or auditors?,"auditors, incentives, offered, ethical, hackers",,[]
Technical,Are there plans to expand interoperability with other DeFi ecosystems?,"ecosystems, plans, expand, interoperability, DeFi",,[]
Financial,How does the project generate revenue outside of token sales?,"sales, project, generate, revenue, token",,[]
Financial,Are there clear projections for future revenue growth?,"growth, clear, projections, future, revenue",,[]
Financial,How are pre-mined or reserved tokens allocated?,"allocated, pre-mined, reserved, tokens",,[]
Financial,Are vesting schedules for team members and investors strictly enforced?,"enforced, vesting, schedules, team, members",,[]
Financial,Does the project provide liquidity pools on decentralized exchanges (DEXs)?,"DEXs, exchanges, project, provide, liquidity",,[]
Financial,What are the annual percentage yields (APYs) for liquidity providers?,"APYs, yields, providers, annual, percentage",,[]
Reputational and Strategic,How responsive is the team to user feedback and concerns?,"concerns, responsive, team, user, feedback",,[]
Reputational and Strategic,How distributed is the network?,"network, distributed",,[]
Reputational and Strategic,How many third-party developers are actively building on the platform?,"platform, third-party, developers, actively, building",,[]
Reputational and Strategic,Are there incentives or grants for developers to contribute to the ecosystem?,"ecosystem, incentives, grants, developers, contribute",,[]
Legal and Compliance,How does the company ensure compliance with these standards?,"standards, company, ensure, compliance|compliance aml kyc, aml kyc compliance, ensure compliance aml|compliance aml kyc, ensure compliance aml, compliance aml|compliance auditability standards, compliance auditability, auditability standards|compliance custody asset, custody asset security, ensure compliance custody|compliance custody key, ensure compliance custody, compliance custody|compliance cybersecurity standards, compliance cybersecurity, ensure compliance cybersecurity|project ensure compliance, compliance cybersecurity, ensure compliance cybersecurity|compliance financial standards, project ensure compliance, ensure compliance financial|project ensure compliance, compliance governance disclosures, ensure compliance governance|compliance governance strategic, project ensure compliance, ensure compliance governance|project ensure compliance, compliance governance voting, governance voting standards|compliance ip licensing, ip licensing standards, ensure compliance ip|infrastructure ecosystem standards, compliance infrastructure ecosystem, ecosystem standards|project ensure compliance, global risk standards, compliance jurisdictional global|project ensure compliance, regulatory compliance standards, compliance standards|project ensure compliance, compliance standards, legal compliance standards|compliance market conduct, project ensure compliance, ensure compliance market|compliance operational diligence, project ensure compliance, operational diligence standards|operational integrity standards, compliance operational integrity, project ensure compliance|compliance reputational strategic, reputational strategic standards, ensure compliance reputational|project ensure compliance, protocol risks standards, compliance smart contract|compliance technical standards, project ensure compliance, ensure compliance technical|compliance technical integrity, technical integrity standards, project ensure compliance|compliance tokenomics emissions, tokenomics emissions standards, ensure compliance tokenomics|compliance tokenomics financial, ensure compliance tokenomics, compliance tokenomics|compliance valuation verification, ensure compliance valuation, valuation verification standards",,[]
Legal and Compliance,"In which jurisdictions do you operate and how do you ensure compliance with local regulations (e.g. SEC, MiCA, FATF)?","compliance local regulations, local regulations sec, ensure compliance local|jurisdictions regulate project, compliance local laws, jurisdictions regulate",,[]
Legal and Compliance,Are you licensed as a VASP or MSB?,"licensed vasp msb, licensed vasp, vasp msb",,[]
Legal and Compliance,Describe your AML/CFT procedures. How do you verify user identities and monitor suspicious transactions?,"monitor suspicious transactions, identities monitor suspicious, user identities monitor|identities monitor transactions, aml kyc framework, kyc framework verify",,[]
Legal and Compliance,How do you comply with GDPR or CCPA for data collection/storage?,"comply gdpr ccpa, gdpr ccpa data, gdpr ccpa",,[]
Legal and Compliance,"Has your token been evaluated for classification as a security? If not ,why ?","evaluated classification security, token evaluated classification, classification security",,[]
Legal and Compliance,"How does the project handle tax reporting for users (e.g. capital gains, staking rewards)? Do you provide tools for tax tracking?","tools tax tracking, tax tracking, tax reporting users",,[]
Legal and Compliance,"If the project involves stablecoins, how are reserves managed? Are they audited for 1:1 backing?","stablecoins reserves managed, reserves managed audited, stablecoins reserves",,[]
Legal and Compliance,"What is your contingency plan if a major jurisdiction bans your token/NFT (e.g., China, India)?","jurisdiction bans token, major jurisdiction bans, bans token nft",,[]
Legal and Compliance,"How do you monitor and adapt to evolving regulations (e.g., EU’s DORA, US state-level crypto laws)?","evolving regulations, evolving regulations eu, adapt evolving regulations",,[]
Legal and Compliance,"Do you comply with data sovereignty laws (e.g., storing user data in specific regions)?","comply data sovereignty, data sovereignty laws, data sovereignty",,[]
Legal and Compliance,Are there mechanisms for employees/contractors to report compliance violations anonymously?,"compliance violations anonymously, contractors report compliance, violations anonymously",,[]
Legal and Compliance,"If a DeFi protocol, how do you address compliance with regulations like the EU’s Travel Rule?","regulations like eu, eu travel rule, defi protocol|evolving regulations, evolving regulations like, travel rule compliance",,[]
Technical,Why was this blockchain chosen? Is it a fork or new protocol?,"blockchain chosen fork, fork new protocol, blockchain chosen",,[]
Technical,Provide third-party audit reports for smart contracts. Were critical vulnerabilities addressed?,"contracts critical vulnerabilities, reports smart contracts, audit reports smart",,[]
Technical,How are protocol upgrades executed? Is there a timelock or multi-sig?,"protocol upgrades executed, upgrades executed timelock, protocol upgrades",,[]
Technical,"What is the TPS capacity, and how are fees managed during congestion?","tps capacity fees, tps capacity, fees managed congestion",,[]
Technical,What percentage of nodes/validators are controlled by the team or insiders?,"controlled team insiders, percentage nodes validators, validators controlled team",,[]
Technical,"Does the project rely on centralized APIs, oracles, or third-party services (e.g., AWS)?","centralized apis oracles, project rely centralized, rely centralized apis",,[]
Technical,"Is the blockchain’s cryptographic algorithm quantum-resistant (e.g., lattice-based)?","quantum resistant lattice, algorithm quantum resistant, quantum resistant",,[]
Technical,How are admin/private keys secured? Is there a dead man’s switch for emergency access?,"admin private keys, keys secured dead, private keys secured",,[]
Technical,How does the protocol mitigate front-running or sandwich attacks (MEV)?,"sandwich attacks mev, running sandwich attacks, sandwich attacks",,[]
Technical,"If bridging assets, how are bridge vulnerabilities managed (e.g., Wormhole exploit)?","assets bridge vulnerabilities, bridge vulnerabilities managed, bridging assets bridge",,[]
Technical,"If AI is part of the project, how are bias, data privacy, and code integrity ensured?","ai project bias, bias data privacy, project bias data",,[]
Technical,"If using ZK tech (e.g., zk-SNARKs), how are trusted setups managed?","zk snarks trusted, trusted setups, snarks trusted setups",,[]
Technical,How is the project’s website/app secured against DNS hijacking or phishing attacks?,"app secured dns, website app secured, dns hijacking phishing",,[]
Technical,"Can smart contracts be frozen? Who controls this function, and under what conditions?","smart contracts frozen, frozen controls function, contracts frozen controls",,[]
Technical,"Are liquidity pool tokens locked (e.g., via Unicrypt)? For how long?","pool tokens locked, liquidity pool tokens, tokens locked unicrypt|liquidity pool tokens, pool tokens burned, pool tokens",,[]
Financial,"Is the token supply fixed, inflationary, or deflationary? How is inflation managed?","supply fixed inflationary, deflationary inflation managed, inflation managed",,[]
Financial,How does the project generate revenue? What % of fees are burned/distributed?,"project generate revenue, generate revenue fees, revenue fees",,[]
Financial,How are project funds stored? Are multi-sig wallets used?,"project funds stored, sig wallets used, multi sig wallets",,[]
Financial,Are insider/advisor tokens subject to vesting? What triggers accelerated unlocks?,"insider advisor tokens, tokens subject vesting, vesting triggers accelerated",,[]
Financial,Is there a deflationary mechanism? How is burn transparency ensured?,"mechanism burn transparency, deflationary mechanism burn, burn transparency ensured",,[]
Financial,"How would the project manage a contentious fork (e.g., community splits)?","manage contentious fork, contentious fork community, contentious fork",,[]
Financial,"Are rewards for liquidity providers sustainable, or could they lead to hyperinflation?","liquidity providers sustainable, rewards liquidity providers, liquidity providers",,[]
Financial,What percentage of tokens are held by the top 10 wallets? Could they manipulate markets?,"percentage tokens held, wallets manipulate markets, percentage tokens",,[]
Financial,Do you use algorithmic market makers? Are there clauses to prevent wash trading?,"prevent wash trading, wash trading, algorithmic market makers",,[]
Financial,"If liquidity pools use stablecoins, how is depegging risk mitigated?","stablecoins depegging risk, pools use stablecoins, liquidity pools use",,[]
Financial,"How are airdrops structured to avoid regulatory scrutiny (e.g., unregistered securities)?","scrutiny unregistered securities, regulatory scrutiny unregistered, airdrops structured avoid",,[]
Financial,"Does token price directly fund operations, creating a death spiral if prices crash?","does token price, token price, token price directly",,[]
Financial,"If a PoS chain, what conditions trigger slashing, and how are validators insured?","slashing validators insured, slashing validators, pos chain conditions",,[]
Financial,"How do you prevent oracle failures (e.g., price feed exploits) from draining funds?","prevent oracle failures, exploits draining funds, oracle failures price",,[]
Financial,On which exchanges is the token listed? How deep is the liquidity?,"exchanges token listed, exchanges token, listed deep liquidity",,[]
Financial,How are funds secured with third-party custodians/exchanges?,"custodians exchanges, party custodians exchanges, funds secured",,[]
Financial,"Is liquidity locked in non-custodial contracts (e.g., Team Finance)? For how long?","liquidity locked, liquidity locked non, non custodial contracts",,[]
Financial,Do liquidity pools use multiple stablecoins to mitigate single-stablecoin depegs?,"single stablecoin depegs, stablecoin depegs, stablecoins mitigate single",,[]
Financial,"How are third-party custodians (e.g., Fireblocks, Copper) audited for security?","copper audited security, audited security, fireblocks copper audited",,[]
Reputational and Strategic,"Can governments or third parties censor transactions (e.g., Tornado Cash)?","parties censor transactions, censor transactions, censor transactions tornado",,[]
Reputational and Strategic,"How do you onboard non-crypto-native users (e.g., fiat ramps, UX simplicity)?","onboard non crypto, crypto native users, native users fiat",,[]
Reputational and Strategic,"For gaming/NFT projects, are there limits on spending or playtime to prevent addiction?","playtime prevent addiction, limits spending playtime, spending playtime prevent",,[]
Auditability,"Can you share real-time metrics (e.g., active users, transaction volume, retention rates)?","metrics active users, real time metrics, share real time",,[]
Auditability,Are GitHub repositories public? How frequently are commits/updates made?,"github repositories public, repositories public frequently, github repositories",,[]
Auditability,"Does the whitepaper omit technical/economic details, or make unrealistic assumptions?","whitepaper omit technical, does whitepaper omit, whitepaper omit",,[]
Auditability,"How often are whitepapers, FAQs, and GitHub docs updated?","whitepapers faqs github, github docs updated, faqs github docs",,[]
Auditability,"Can you share testnet participation metrics (e.g., validators, transaction volume)?","testnet participation metrics, share testnet participation, testnet participation",,[]
Auditability,"Have independent researchers (e.g., universities) peer-reviewed your protocol?","peer reviewed protocol, independent researchers, independent researchers universities",,[]
Legal and Compliance,"How is your token/NFT classified (utility, security, payment, etc.)? What legal analysis supports this classification?","token nft classified, token nft, nft classified utility",,[]
Legal and Compliance,"If deemed a security, how do you comply with registration, disclosure, or exemption requirements (e.g., Reg D, SAFT)?","security comply registration, comply registration disclosure, security comply",,[]
Technical,Which third-party firms audited your code? Are audits public? How are vulnerabilities patched post-deployment?,"code audits public, firms audited code, audited code audits",,[]
Technical,"Is the project sufficiently decentralized to mitigate regulatory risks (e.g., avoiding 'common enterprise' claims)?","decentralized mitigate regulatory, project sufficiently decentralized, mitigate regulatory risks",,[]
Technical,How do you ensure compliance when interacting with other blockchains or bridges?,"compliance interacting blockchains, ensure compliance interacting, interacting blockchains bridges",,[]
Legal and Compliance,"How do you assist users with tax reporting (e.g., issuing 1099s)? What is the token's tax treatment in key jurisdictions?","1099s token tax, token tax treatment, issuing 1099s token",,[]
Reputational and Strategic,"How do you ensure marketing claims (ROI, partnerships) are substantiated? Do you prohibit influencers from making unverified statements?","ensure marketing claims, marketing claims roi, marketing claims",,[]
Reputational and Strategic,"Have you faced regulatory inquiries, hacks, or fraud? How were they resolved?","regulatory inquiries hacks, faced regulatory inquiries, inquiries hacks fraud",,[]
Financial,"If offering staking/yield, how do you ensure it isn't classified as a security (e.g., Howey Test analysis)?","staking yield ensure, offering staking yield, staking yield",,[]
Cybersecurity,How do you educate users to avoid phishing? Do you monitor for counterfeit sites/social media?,"avoid phishing monitor, users avoid phishing, avoid phishing",,[]
Legal and Compliance,"How do you restrict access in jurisdictions where your project is prohibited (e.g., Iran, North Korea)?","restrict access jurisdictions, jurisdictions project prohibited, restrict access",,[]
Legal and Compliance,"Do you hold licenses for regulated activities (e.g., VASP, MTF) in jurisdictions where you operate?","licenses regulated activities, hold licenses regulated, licenses regulated",,[]
Legal and Compliance,"How do you handle VAT, GST, or other taxes for users in jurisdictions with crypto tax regimes?","jurisdictions crypto tax, crypto tax regimes, crypto tax",,[]
Technical,"Who controls admin keys or backdoors? How are they secured (e.g., multi-sig, time locks)?","admin keys backdoors, keys backdoors secured, backdoors secured",,[]
