question,category,severity,data_accessibility,category_risk,strategic_impact,risk_score,error,raw_output
Does the project have a clear budget or financial plan for the next 1-3 years?,Auditability,2.0,1.0,3.0,1.0,1.43,,
Are there any risks of insolvency or running out of funds?,Auditability,6.0,8.0,5.0,7.0,4.14,,
Does the project have a sustainability plan to reduce its environmental impact?,Reputational and Strategic,3.0,2.0,1.0,4.0,2.21,,
How does the project contribute to social causes or communities?,Reputational and Strategic,2.0,1.0,3.0,4.0,2.5,,
How does the project ensure diversity and inclusion within its team and community?,Reputational and Strategic,2.0,1.0,3.0,4.0,2.5,,
Are there any ethical concerns related to the project’s operations or goals?,Reputational and Strategic,2.5,1.8,3.9,4.2,2.79,,
Who owns the intellectual property (IP) related to the project's technology?,Legal and Compliance,4.0,3.0,2.0,1.0,1.5,,
What are the on chain analysis tools that they utilize to track illicit funds?,Legal and Compliance,7.0,8.0,9.0,6.0,4.93,,
How are liabilities handled within the DAO structure?,Legal and Compliance,6.0,4.0,5.0,3.0,3.29,,
What are the legal implications of the DAO's governance model?,Legal and Compliance,6.0,4.0,5.0,7.0,4.71,,
Are there any mechanisms for burning or repurchasing tokens?,Financial,2.0,1.0,3.0,4.0,2.5,,
What is the token's velocity and circulation?,Financial,3.0,2.0,1.0,4.0,2.21,,
How are the funds raised during token sales being used?,Financial,7.0,5.0,4.0,6.0,4.29,,
What stress testing has been conducted on the project's financial model?,Financial,6.0,8.0,5.0,4.0,3.07,,
What is the projects treasury management strategy?,Financial,4.0,3.0,2.0,5.0,2.93,,
Which accounting standards are being used?,Financial,2.0,4.0,3.0,1.0,1.0,,
"Who are the auditors, and what is their reputation in the digital asset space?",Financial,2.0,3.0,1.0,4.0,1.79,,
Are there regular proof of reserve audits?,Financial,3.0,1.0,2.0,4.0,2.57,,
What specific cryptographic algorithms are used?,Technical,5.0,2.0,3.0,4.0,3.21,,
What is the project's approach to key management and security?,Technical,6.0,8.0,7.0,9.0,5.29,,
Are there any known vulnerabilities in the underlying blockchain protocol?,Technical,6.0,3.0,4.0,5.0,3.93,,
What is the process for updating and patching the blockchain?,Technical,7.0,6.0,8.0,9.0,6.07,,
Has there been any previous exploits of the smart contract?,Technical,7.0,5.0,8.0,3.0,4.07,,
Are there any signs of malicious code or backdoors?,Technical,6.0,4.0,5.0,3.0,3.29,,
What is the communities involvement in the open source project?,Technical,2.0,1.0,3.0,4.0,2.5,,
How frequently are financial reports published?,Auditability,2.0,1.0,3.0,4.0,2.5,,
In how many jurisdictions has the project ensured regulatory compliance?,Legal and Compliance,1.5,2.0,3.0,4.0,2.21,,
Are there export controls or restrictions for certain countries?,Legal and Compliance,3.0,2.0,4.0,1.0,1.79,,
Are IP rights secured in major markets where the project intends to operate?,Legal and Compliance,3.0,2.0,4.0,1.0,1.79,,
"What development methodology does the team follow (e.g., Agile, DevOps)?",Technical,2.0,1.0,3.0,4.0,2.5,,
"Are there regular updates to the codebase, and is there a public roadmap?",Technical,4.0,5.0,3.0,4.0,2.5,,
What is the project's uptime percentage over the past year?,Technical,2.5,1.8,3.4,2.1,1.94,,
Are there automated systems for monitoring and recovering from outages?,Technical,8.0,5.0,7.0,9.0,6.29,,
"What were the sources of funding (e.g., ICO, private sales, venture capital)?",Financial,2.0,1.0,3.0,4.0,2.5,,
What safeguards are in place to prevent misuse of funds?,Financial,6.0,7.0,5.0,8.0,4.64,,
Are there any mechanisms for token buybacks or burns to regulate supply?,Financial,2.0,1.0,3.0,4.0,2.5,,
"How transparent are these policies, and how often are they executed?",Financial,6.0,7.0,5.0,8.0,4.64,,
How does the project plan to adapt to potential regulatory changes?,Legal and Compliance,6.0,5.0,3.0,7.0,4.14,,
Are there influential figures or ambassadors actively promoting the project?,Reputational and Strategic,2.0,1.0,3.0,4.0,2.5,,
What incentives are in place for advocates to remain engaged?,Reputational and Strategic,2.0,1.0,1.0,3.0,1.71,,
"Are there rewards for validators, miners, or liquidity providers?",Reputational and Strategic,2.0,1.0,3.0,4.0,2.5,,
How sustainable are these rewards over the long term?,Reputational and Strategic,2.0,4.0,3.0,1.0,1.0,,
Are there clear guides or resources to onboard new users or developers?,Reputational and Strategic,6.0,7.0,5.0,4.0,3.21,,
How does the project handle technical support for users?,Reputational and Strategic,2.0,1.0,1.5,3.0,1.82,,
Are there any concerns about the project’s compliance with sanctions or embargoes?,Legal and Compliance,4.0,3.0,2.0,1.0,1.5,,
How does the project handle community governance or decision-making?,Reputational and Strategic,2.0,1.0,3.0,4.0,2.5,,
Are there any risks of community fragmentation or infighting?,Reputational and Strategic,4.0,2.0,3.0,5.0,3.29,,
How does the project plan to grow its ecosystem of developers and users?,Reputational and Strategic,5.0,4.0,3.0,7.0,4.0,,
Are there any risks of the community losing trust in the project?,Reputational and Strategic,7.0,6.0,5.0,8.0,5.07,,
"How does the project handle negative sentiment or FUD (fear, uncertainty, doubt)?",Reputational and Strategic,4.0,2.0,3.0,5.0,3.29,,
Are there any plans to incentivize community contributions or participation?,Reputational and Strategic,2.0,1.0,3.0,4.0,2.5,,
How does the project handle investor relations or communication?,Auditability,2.0,1.0,3.0,4.0,2.5,,
Are there any risks of the project running out of funding or going bankrupt?,Auditability,5.0,4.0,6.0,3.0,3.21,,
How does the project plan to allocate funds raised from token sales or investments?,Auditability,5.0,8.0,3.0,7.0,3.43,,
Does the project have a plan to offset its carbon footprint or environmental impact?,Reputational and Strategic,2.0,1.0,3.0,4.0,2.5,,
How does the protocol address the risks of impermanent loss and liquidation?,Legal and Compliance,4.0,2.0,3.0,5.0,3.29,,
How does the project address the risks of counterfeit NFTs?,Legal and Compliance,7.0,4.0,8.0,6.0,5.29,,
What are the legal implications of fractionalized NFTs?,Legal and Compliance,7.0,5.0,6.0,8.0,5.43,,
What on-chain metrics are used to assess the health of the project's network?,Financial,3.0,2.0,1.0,4.0,2.21,,
What are the risks of cascading liquidations in the protocol?,Financial,6.0,4.0,8.0,7.0,5.36,,
What are the risks of oracle failures?,Financial,7.0,5.0,8.0,9.0,6.21,,
"Are the stablecoins fully backed by reserves, and are those reserves audited?",Financial,7.0,8.0,9.0,5.0,4.57,,
What are the de-pegging risks?,Financial,8.0,5.0,7.0,9.0,6.29,,
What valuation models are being used to assess the project's worth?,Financial,6.0,4.0,5.0,3.0,3.29,,
What is the scope and depth of the formal verification process?,Technical,8.0,6.0,4.0,7.0,4.79,,
What measures are being taken to mitigate those risks?,Technical,8.0,6.0,7.0,5.0,4.71,,
How robust are the project’s KYC/AML processes?,Legal and Compliance,7.0,8.0,6.0,5.0,3.93,,
How does the project handle regulatory inquiries or subpoenas?,Legal and Compliance,6.0,8.0,4.0,5.0,3.21,,
Are there potential infringement risks due to similarities with other projects?,Legal and Compliance,6.0,4.0,5.0,7.0,4.71,,
What encryption methods are used to secure transactions and data?,Technical,8.0,9.0,7.0,6.0,4.64,,
What incentives are offered to ethical hackers or auditors?,Technical,6.0,4.0,5.0,3.0,3.29,,
Are there plans to expand interoperability with other DeFi ecosystems?,Technical,4.0,2.0,3.0,5.0,3.29,,
How does the project generate revenue outside of token sales?,Financial,2.0,4.0,1.0,3.0,1.29,,
Are there clear projections for future revenue growth?,Financial,2.0,1.0,3.0,4.0,2.5,,
How are pre-mined or reserved tokens allocated?,Financial,5.0,7.0,8.0,4.0,3.57,,
Are vesting schedules for team members and investors strictly enforced?,Financial,6.0,7.0,8.0,5.0,4.21,,
Does the project provide liquidity pools on decentralized exchanges (DEXs)?,Financial,2.0,1.0,3.0,2.0,1.79,,
What are the annual percentage yields (APYs) for liquidity providers?,Financial,3.5,4.2,1.8,2.1,1.54,,
How responsive is the team to user feedback and concerns?,Reputational and Strategic,2.0,1.0,3.0,4.0,2.5,,
How distributed is the network?,Reputational and Strategic,2.5,1.8,3.2,4.0,2.57,,
How many third-party developers are actively building on the platform?,Reputational and Strategic,3.0,2.0,1.0,4.0,2.21,,
Are there incentives or grants for developers to contribute to the ecosystem?,Reputational and Strategic,2.0,1.0,3.0,4.0,2.5,,
How does the company ensure compliance with these standards?,Legal and Compliance,7.0,9.0,5.0,8.0,4.64,,
"In which jurisdictions do you operate and how do you ensure compliance with local regulations (e.g. SEC, MiCA, FATF)?",Legal and Compliance,4.0,3.0,2.0,1.0,1.5,,
Are you licensed as a VASP or MSB?,Legal and Compliance,5.0,8.0,7.0,9.0,5.0,,
Describe your AML/CFT procedures. How do you verify user identities and monitor suspicious transactions?,Legal and Compliance,7.0,9.0,6.0,8.0,4.86,,
How do you comply with GDPR or CCPA for data collection/storage?,Legal and Compliance,8.0,9.0,7.0,5.0,4.29,,
"Has your token been evaluated for classification as a security? If not ,why ?",Legal and Compliance,6.0,5.0,4.0,3.0,2.93,,
"How does the project handle tax reporting for users (e.g. capital gains, staking rewards)? Do you provide tools for tax tracking?",Legal and Compliance,3.0,2.0,1.0,4.0,2.21,,
"If the project involves stablecoins, how are reserves managed? Are they audited for 1:1 backing?",Legal and Compliance,6.0,4.0,5.0,3.0,3.29,,
"What is your contingency plan if a major jurisdiction bans your token/NFT (e.g., China, India)?",Legal and Compliance,7.0,5.0,8.0,9.0,6.21,,
"How do you monitor and adapt to evolving regulations (e.g., EU’s DORA, US state-level crypto laws)?",Legal and Compliance,7.0,5.0,6.0,8.0,5.43,,
"Do you comply with data sovereignty laws (e.g., storing user data in specific regions)?",Legal and Compliance,7.0,8.0,6.0,9.0,5.36,,
Are there mechanisms for employees/contractors to report compliance violations anonymously?,Legal and Compliance,2.0,1.0,3.0,1.0,1.43,,
"If a DeFi protocol, how do you address compliance with regulations like the EU’s Travel Rule?",Legal and Compliance,7.0,5.0,6.0,8.0,5.43,,
Why was this blockchain chosen? Is it a fork or new protocol?,Technical,2.0,1.0,3.0,4.0,2.5,,
Provide third-party audit reports for smart contracts. Were critical vulnerabilities addressed?,Technical,8.0,7.0,9.0,5.0,5.0,,
How are protocol upgrades executed? Is there a timelock or multi-sig?,Technical,2.0,1.0,3.0,4.0,2.5,,
"What is the TPS capacity, and how are fees managed during congestion?",Technical,6.0,8.0,5.0,7.0,4.14,,
What percentage of nodes/validators are controlled by the team or insiders?,Technical,7.0,5.0,8.0,6.0,5.14,,
"Does the project rely on centralized APIs, oracles, or third-party services (e.g., AWS)?",Technical,5.0,3.0,4.0,2.0,2.57,,
"Is the blockchain’s cryptographic algorithm quantum-resistant (e.g., lattice-based)?",Technical,3.0,2.0,4.0,5.0,3.21,,
How are admin/private keys secured? Is there a dead man’s switch for emergency access?,Technical,6.0,4.0,5.0,7.0,4.71,,
How does the protocol mitigate front-running or sandwich attacks (MEV)?,Technical,6.0,7.0,5.0,8.0,4.64,,
"If bridging assets, how are bridge vulnerabilities managed (e.g., Wormhole exploit)?",Technical,6.0,3.0,5.0,4.0,3.79,,
"If AI is part of the project, how are bias, data privacy, and code integrity ensured?",Technical,2.5,4.0,3.7,1.8,1.58,,
"If using ZK tech (e.g., zk-SNARKs), how are trusted setups managed?",Technical,2.0,1.0,3.0,2.0,1.79,,
How is the project’s website/app secured against DNS hijacking or phishing attacks?,Technical,6.0,5.0,7.0,4.0,3.93,,
"Can smart contracts be frozen? Who controls this function, and under what conditions?",Technical,7.0,5.0,6.0,8.0,5.43,,
"Are liquidity pool tokens locked (e.g., via Unicrypt)? For how long?",Technical,6.0,5.0,4.0,3.0,2.93,,
"Is the token supply fixed, inflationary, or deflationary? How is inflation managed?",Financial,5.0,8.0,6.0,4.0,3.0,,
How does the project generate revenue? What % of fees are burned/distributed?,Financial,2.5,1.0,3.0,1.8,1.86,,
How are project funds stored? Are multi-sig wallets used?,Financial,5.0,3.0,4.0,2.0,2.57,,
Are insider/advisor tokens subject to vesting? What triggers accelerated unlocks?,Financial,3.0,2.0,1.0,4.0,2.21,,
Is there a deflationary mechanism? How is burn transparency ensured?,Financial,3.0,4.0,2.0,1.0,1.07,,
"How would the project manage a contentious fork (e.g., community splits)?",Financial,3.0,2.0,4.0,5.0,3.21,,
"Are rewards for liquidity providers sustainable, or could they lead to hyperinflation?",Financial,6.0,4.0,5.0,7.0,4.71,,
What percentage of tokens are held by the top 10 wallets? Could they manipulate markets?,Financial,30.0,10.0,20.0,40.0,25.71,,
Do you use algorithmic market makers? Are there clauses to prevent wash trading?,Financial,6.0,8.0,5.0,7.0,4.14,,
"If liquidity pools use stablecoins, how is depegging risk mitigated?",Financial,3.0,1.0,2.0,4.0,2.57,,
"How are airdrops structured to avoid regulatory scrutiny (e.g., unregistered securities)?",Financial,4.0,3.0,2.0,5.0,2.93,,
"Does token price directly fund operations, creating a death spiral if prices crash?",Financial,6.0,4.0,8.0,5.0,4.64,,
"If a PoS chain, what conditions trigger slashing, and how are validators insured?",Financial,6.0,4.0,5.0,3.0,3.29,,
"How do you prevent oracle failures (e.g., price feed exploits) from draining funds?",Financial,6.0,7.0,5.0,8.0,4.64,,
On which exchanges is the token listed? How deep is the liquidity?,Financial,2.0,4.0,1.0,3.0,1.29,,
How are funds secured with third-party custodians/exchanges?,Financial,6.0,8.0,5.0,7.0,4.14,,
"Is liquidity locked in non-custodial contracts (e.g., Team Finance)? For how long?",Financial,6.0,4.0,5.0,3.0,3.29,,
Do liquidity pools use multiple stablecoins to mitigate single-stablecoin depegs?,Financial,4.0,3.0,2.0,5.0,2.93,,
"How are third-party custodians (e.g., Fireblocks, Copper) audited for security?",Financial,6.0,8.0,4.0,5.0,3.21,,
"Can governments or third parties censor transactions (e.g., Tornado Cash)?",Reputational and Strategic,7.0,8.0,6.0,9.0,5.36,,
"How do you onboard non-crypto-native users (e.g., fiat ramps, UX simplicity)?",Reputational and Strategic,3.0,2.0,1.0,4.0,2.21,,
"For gaming/NFT projects, are there limits on spending or playtime to prevent addiction?",Reputational and Strategic,4.0,3.0,2.0,5.0,2.93,,
"Can you share real-time metrics (e.g., active users, transaction volume, retention rates)?",Auditability,2.0,4.0,3.0,1.0,1.0,,
Are GitHub repositories public? How frequently are commits/updates made?,Auditability,4.0,5.0,3.0,2.0,1.79,,
"Does the whitepaper omit technical/economic details, or make unrealistic assumptions?",Auditability,6.0,4.0,3.0,2.0,2.5,,
"How often are whitepapers, FAQs, and GitHub docs updated?",Auditability,2.0,1.0,3.0,4.0,2.5,,
"Can you share testnet participation metrics (e.g., validators, transaction volume)?",Auditability,2.0,5.0,3.0,4.0,1.93,,
"Have independent researchers (e.g., universities) peer-reviewed your protocol?",Auditability,2.0,1.0,3.0,2.0,1.79,,
"How is your token/NFT classified (utility, security, payment, etc.)? What legal analysis supports this classification?",Legal and Compliance,4.0,2.0,3.0,5.0,3.29,,
"If deemed a security, how do you comply with registration, disclosure, or exemption requirements (e.g., Reg D, SAFT)?",Legal and Compliance,7.0,3.0,6.0,8.0,5.71,,
Which third-party firms audited your code? Are audits public? How are vulnerabilities patched post-deployment?,Technical,7.0,6.0,5.0,8.0,5.07,,
"Is the project sufficiently decentralized to mitigate regulatory risks (e.g., avoiding 'common enterprise' claims)?",Technical,6.0,5.0,7.0,8.0,5.36,,
How do you ensure compliance when interacting with other blockchains or bridges?,Technical,7.0,8.0,5.0,9.0,5.14,,
"How do you assist users with tax reporting (e.g., issuing 1099s)? What is the token's tax treatment in key jurisdictions?",Legal and Compliance,2.0,1.0,3.0,4.0,2.5,,
"How do you ensure marketing claims (ROI, partnerships) are substantiated? Do you prohibit influencers from making unverified statements?",Reputational and Strategic,6.0,4.0,5.0,7.0,4.71,,
"Have you faced regulatory inquiries, hacks, or fraud? How were they resolved?",Reputational and Strategic,4.0,3.0,2.0,1.0,1.5,,
"If offering staking/yield, how do you ensure it isn't classified as a security (e.g., Howey Test analysis)?",Financial,6.0,4.0,5.0,3.0,3.29,,
How do you educate users to avoid phishing? Do you monitor for counterfeit sites/social media?,Cybersecurity,2.0,1.0,3.0,4.0,2.5,,
"How do you restrict access in jurisdictions where your project is prohibited (e.g., Iran, North Korea)?",Legal and Compliance,7.0,8.0,9.0,6.0,4.93,,
"Do you hold licenses for regulated activities (e.g., VASP, MTF) in jurisdictions where you operate?",Legal and Compliance,2.0,1.0,3.0,4.0,2.5,,
"How do you handle VAT, GST, or other taxes for users in jurisdictions with crypto tax regimes?",Legal and Compliance,4.0,3.0,5.0,2.0,2.5,,
"Who controls admin keys or backdoors? How are they secured (e.g., multi-sig, time locks)?",Technical,8.0,7.0,9.0,6.0,5.36,,
"Can transactions be halted? Under what circumstances, and who authorizes this?",Technical,3.5,4.0,2.8,1.9,1.71,,
How will you adapt to upcoming regulations like the EU's MiCA or the U.S. Executive Order on crypto?,Legal and Compliance,7.0,5.0,8.0,9.0,6.21,,
What if a major jurisdiction bans your project? How would you pivot or wind down?,Legal and Compliance,7.0,5.0,8.0,9.0,6.21,,
"Do core team members use hardware wallets, multi-factor authentication, or undergo phishing training?",Cybersecurity,2.0,3.0,1.0,4.0,1.79,,
"Does your blockchain/protocol have quantum-resistant cryptography (e.g., lattice-based algorithms)?",Cybersecurity,6.0,5.0,8.0,7.0,5.21,,
"What contingency plans exist if quantum computing breaks existing encryption standards (e.g., ECDSA)?",Cybersecurity,8.0,6.0,7.0,9.0,6.14,,
"If PoW-based, do you purchase carbon offsets or use renewable energy? Are claims verified by third parties?",Reputational and Strategic,2.0,1.0,3.0,2.0,1.79,,
"How do you align with ESG (Environmental, Social, Governance) frameworks for institutional investors?",Reputational and Strategic,3.0,2.0,4.0,5.0,3.21,,
How does your protocol mitigate miner extractable value (MEV) or bot front-running in DeFi transactions?,Cybersecurity,8.0,6.0,7.0,9.0,6.14,,
"How are algorithmic stablecoins stress-tested against hyperinflation or 'death spirals' (e.g., TerraUSD collapse)?",Financial,8.0,6.0,9.0,7.0,5.86,,
"Are there circuit breakers or stabilization mechanisms (e.g., arbitrage incentives) to maintain the peg?",Financial,6.0,8.0,7.0,5.0,3.86,,
How many independent oracles feed data to your protocol? What happens if a majority are compromised?,Technical,6.0,4.0,7.0,5.0,4.43,,
"Are oracle data sources decentralized (e.g., Chainlink) or centralized (e.g., Binance API)?",Technical,1.0,2.0,3.0,4.0,2.07,,
"Which jurisdiction's courts govern disputes (e.g., Switzerland, Singapore)? Are binding arbitration clauses included?",Legal and Compliance,5.0,3.0,4.0,2.0,2.57,,
How do you ensure compliance with labor laws for remote team members or contractors across jurisdictions?,Legal and Compliance,4.0,3.0,2.0,5.0,2.93,,
"Do marketing materials comply with jurisdiction-specific ad laws (e.g., UK's CAP Code, FTC guidelines)?",Legal and Compliance,5.0,4.0,3.0,2.0,2.21,,
"If custodial, do you publish Proof-of-Reserves audits? How frequently, and by whom?",Auditability,4.0,3.0,2.0,1.0,1.5,,
"Are user funds co-mingled, or held in segregated accounts?",Auditability,6.0,8.0,5.0,7.0,4.14,,
"How do you ensure compliance and security when operating on Layer 2s or sidechains (e.g., Polygon, Arbitrum)?",Technical,7.0,9.0,8.0,6.0,4.57,,
Are bridges between Layer 1 and Layer 2 audited for centralization risks?,Technical,6.0,4.0,5.0,7.0,4.71,,
"What is your protocol for public communication during crises (e.g., hacks, regulatory crackdowns)?",Reputational and Strategic,6.0,5.0,7.0,8.0,5.36,,
"If using ZK-proofs (e.g., zkRollups), how do you balance privacy with regulators' demands for auditability?",Technical,7.0,5.0,8.0,6.0,5.14,,
Is any code forked from other projects? How are licensing/attribution requirements met?,Technical,2.0,1.0,3.0,2.0,1.79,,
"In which jurisdictions do you operate, and under which regulatory bodies are you registered?",Legal and Compliance,5.0,4.0,3.0,2.0,2.21,,
"Have you obtained legal opinions confirming your project does not violate securities laws (e.g., Howey Test analysis)?",Legal and Compliance,8.0,5.0,7.0,9.0,6.29,,
"Are you integrated with blockchain analytics tools (e.g., Chainalysis)?",Legal and Compliance,2.0,1.0,3.0,1.0,1.43,,
"How do you ensure tax reporting (e.g., FATCA, IRS Form 1099)?",Legal and Compliance,4.0,3.0,2.0,5.0,2.93,,
